text,label,category,source_type,language
BREAKING: Government secretly controlling weather with 5G towers!,1,conspiracy,social_media,en
EXPOSED: Hidden documents reveal vaccine microchips are real,1,health,social_media,en
URGENT: They don't want you to know about this cancer cure,1,health,social_media,en
SHOCKING: Celebrity death was actually a government assassination,1,conspiracy,social_media,en
EXCLUSIVE: Secret society controls all world governments,1,conspiracy,social_media,en
VIRAL: This miracle herb cures diabetes in 3 days!,1,health,social_media,en
ALERT: Chemtrails are poisoning our children - WAKE UP!,1,conspiracy,social_media,en
UNBELIEVABLE: Time traveler from 2050 warns about future disaster,1,conspiracy,social_media,en
Doctors HATE this one simple trick to cure cancer,1,health,social_media,en
Big Pharma hiding natural cure for COVID-19,1,health,social_media,en
Vaccines cause autism - new study proves it!,1,health,social_media,en
Drinking bleach cures coronavirus - try it now!,1,health,social_media,en
5G radiation is killing people worldwide,1,health,social_media,en
Masks are actually making people sick with CO2 poisoning,1,health,social_media,en
This ancient remedy cures all diseases naturally,1,health,social_media,en
Hospitals are lying about COVID deaths for money,1,health,social_media,en
RIGGED: Election machines were hacked by foreign powers,1,politics,social_media,en
PROOF: Opposition leader is secretly a foreign agent,1,politics,social_media,en
SCANDAL: Government spending billions on fake projects,1,politics,social_media,en
LEAKED: Secret recordings expose corruption at highest levels,1,politics,social_media,en
BOMBSHELL: Prime Minister's real birth certificate found,1,politics,social_media,en
EXPOSED: Media is controlled by shadow organizations,1,politics,social_media,en
URGENT: New law will ban all religious practices,1,politics,social_media,en
BREAKING: Military coup happening right now - media silent,1,politics,social_media,en
VIRAL: Immigrants are taking over our neighborhoods,1,social,social_media,en
SHOCKING: Religious minorities planning secret attacks,1,social,social_media,en
ALERT: Children being brainwashed in schools,1,social,social_media,en
EXPOSED: Social media is mind control experiment,1,technology,social_media,en
URGENT: New technology reading your thoughts,1,technology,social_media,en
BREAKING: Ancient aliens built our monuments,1,conspiracy,social_media,en
PROOF: Earth is actually flat - NASA lies exposed,1,conspiracy,social_media,en
SCANDAL: Moon landing was filmed in Hollywood studio,1,conspiracy,social_media,en
CRASH: Stock market will collapse tomorrow - insider info,1,economic,social_media,en
SECRET: Billionaires planning to crash economy,1,economic,social_media,en
EXPOSED: Banks stealing money from accounts,1,economic,social_media,en
URGENT: New currency will make your savings worthless,1,economic,social_media,en
BREAKING: Government printing fake money,1,economic,social_media,en
ALERT: Cryptocurrency is government tracking system,1,economic,social_media,en
SHOCKING: Your pension fund has been stolen,1,economic,social_media,en
VIRAL: This investment will make you rich overnight,1,economic,social_media,en
BREAKING: Earthquake machines causing natural disasters,1,disaster,social_media,en
URGENT: Government knew about tsunami but didn't warn people,1,disaster,social_media,en
EXPOSED: Climate change is hoax to control population,1,disaster,social_media,en
ALERT: Volcanic eruption was caused by secret experiments,1,disaster,social_media,en
SHOCKING: Floods are artificially created by weather control,1,disaster,social_media,en
VIRAL: Hurricane was steered by government technology,1,disaster,social_media,en
BREAKING: Forest fires started by space lasers,1,disaster,social_media,en
URGENT: Pandemic was planned years ago by elites,1,disaster,social_media,en
EXPOSED: Smartphones are spying on your every move,1,technology,social_media,en
BREAKING: AI robots are already replacing humans secretly,1,technology,social_media,en
URGENT: Internet will be shut down permanently next week,1,technology,social_media,en
SHOCKING: Social media apps are mind control tools,1,technology,social_media,en
VIRAL: New update will delete all your personal data,1,technology,social_media,en
ALERT: Smart TVs are recording your private conversations,1,technology,social_media,en
BREAKING: GPS tracking is being used to control behavior,1,technology,social_media,en
EXPOSED: Video games are training kids to be killers,1,technology,social_media,en
BREAKING: Modi government selling India's assets to China secretly!,1,politics,social_media,en
EXPOSED: BJP paying crores to social media influencers to spread lies,1,politics,social_media,en
SHOCKING: Congress leader caught meeting Pakistani spy in Dubai,1,politics,social_media,en
URGENT: AAP government planning to demolish all temples in Delhi,1,religious,social_media,en
ALERT: Rahul Gandhi arrested by CBI for treason - media blackout!,1,politics,social_media,en
BREAKING: EVM machines rigged in UP elections - video proof,1,politics,social_media,en
EXPOSED: CAA will strip citizenship from 20 crore Muslims,1,politics,social_media,en
SHOCKING: NRC is a secret plan to deport minorities from India,1,politics,social_media,en
VIRAL: Arvind Kejriwal caught with bundles of cash during raid,1,politics,social_media,en
BREAKING: Indian Army attacking civilians in Kashmir - UN condemns,1,politics,social_media,en
"URGENT: Cow urine cures cancer, diabetes, and COVID - scientists confirm!",1,health,social_media,en
SHOCKING: Indian hospitals injecting saline water instead of vaccines,1,health,social_media,en
EXPOSED: Ayurvedic medicine cures HIV in 21 days - pharma hiding truth,1,health,social_media,en
ALERT: COVID vaccine causing mass infertility among Indian women,1,health,social_media,en
BREAKING: Patanjali discovers miracle cure for all diseases - FDA banned it,1,health,social_media,en
VIRAL: Eating papaya seeds cures dengue fever overnight,1,health,social_media,en
SHOCKING: Government adding poison to tap water to control population,1,health,social_media,en
URGENT: New variant of COVID created in Wuhan lab targeting Indians specifically,1,health,social_media,en
EXPOSED: AIIMS doctors caught selling organs of poor patients,1,health,social_media,en
BREAKING: Turmeric water can prevent cancer - doctors don't want you to know,1,health,social_media,en
ALERT: Muslim community secretly poisoning water supply in Hindu areas,1,religious,social_media,en
SHOCKING: Temple destroyed by mob in Kerala - police watching silently,1,religious,social_media,en
EXPOSED: Love jihad conspiracy to convert 1 crore Hindu girls,1,religious,social_media,en
BREAKING: Mosque being built on demolished temple site in Ayodhya,1,religious,social_media,en
URGENT: Hindu families being forced to leave their homes in West Bengal,1,religious,social_media,en
VIRAL: Church offering money to convert tribal communities in Jharkhand,1,religious,social_media,en
ALERT: Halal food contains chemicals to weaken Hindu population,1,religious,social_media,en
SHOCKING: Madrassas teaching anti-India propaganda to children,1,religious,social_media,en
EXPOSED: Secret meeting of religious leaders planning riots in Maharashtra,1,religious,social_media,en
BREAKING: Pakistan flag hoisted in Muslim-majority area of UP,1,religious,social_media,en
SHOCKING: Rupee to crash to 200 per dollar next month - RBI hiding truth,1,economic,social_media,en
EXPOSED: Banks secretly deducting money from Jan Dhan accounts,1,economic,social_media,en
ALERT: New GST rule will make prices double for all essential items,1,economic,social_media,en
BREAKING: Adani-Ambani planning to buy all government banks,1,economic,social_media,en
URGENT: Government will confiscate all gold jewelry from households,1,economic,social_media,en
VIRAL: Cryptocurrency scheme guarantees 100x returns - invest now!,1,economic,social_media,en
SHOCKING: Farmers receiving fake seeds from government - crops destroyed,1,economic,social_media,en
EXPOSED: UPI payments being tracked to steal money from accounts,1,economic,social_media,en
BREAKING: Massive earthquake predicted in Delhi NCR next week!,1,disaster,social_media,en
ALERT: Tsunami warning for entire eastern coast - evacuate immediately,1,disaster,social_media,en
SHOCKING: Chennai floods were artificially created by Tamil Nadu government,1,disaster,social_media,en
URGENT: Uttarakhand glacier melting will flood entire northern India,1,disaster,social_media,en
EXPOSED: Government hiding true death toll from Odisha cyclone,1,disaster,social_media,en
VIRAL: Cloud seeding in Maharashtra causing unnatural floods,1,disaster,social_media,en
BREAKING: Nuclear leak at power plant in Rajasthan - radiation spreading,1,disaster,social_media,en
ALERT: Assam earthquake cover-up by government to avoid panic,1,disaster,social_media,en
Yeh forward karo sabko - Modi ji ka secret plan exposed! Share before deleted!,1,politics,whatsapp,hinglish
Khabar aai hai ki sarkaar sabke bank account band kar degi - paisa nikalo abhi!,1,economic,whatsapp,hinglish
Hindu khatre mein hai! 2025 tak India Islamic desh ban jayega!,1,religious,whatsapp,hinglish
WhatsApp band hone wala hai India mein - 10 logo ko forward karo,1,technology,whatsapp,hinglish
Ye video dekho - army wale protesters ko maar rahe hai Kashmir mein,1,politics,whatsapp,hinglish
Sarkari school mein bacchon ko non-veg khana khila rahe hai - parents jaago!,1,social,whatsapp,hinglish
Pakistani drone se phenka gaya virus India mein faila hai - ye sachchi news hai,1,health,whatsapp,hinglish
NaMo app install karo - PM personally tumhe paise dega Direct Bank Transfer,1,politics,whatsapp,hinglish
China ne India ke border pe 1 lakh soldiers bhej diye hai - media chupa raha hai,1,politics,whatsapp,hinglish
Ghar ka haldi paani peene se cancer theek ho jata hai - doctor ne confirm kiya,1,health,whatsapp,hinglish
Ek aur forward - vaccine lagvane se 5 saal mein sabki death hogi WHO ne maana,1,health,whatsapp,hinglish
